Data          Hora     Temp_atual   Temp_med   Temp_min   Temp_max   Umi_atual   Umi_med   Umi_min   Umi_max
2024-10-11   13:55:14   26.87°C     26.83°C     26.80°C   26.88°C    66.81RH    67.55RH    66.79RH   68.10RH
2024-10-11   13:55:19   26.87°C     26.83°C     26.80°C   26.88°C    66.85RH    67.54RH    66.79RH   68.10RH
2024-10-11   13:55:24   26.84°C     26.83°C     26.80°C   26.88°C    66.83RH    67.54RH    66.79RH   68.10RH
2024-10-11   13:55:30   26.84°C     26.83°C     26.80°C   26.88°C    66.82RH    67.53RH    66.79RH   68.10RH
2024-10-11   13:55:35   26.84°C     26.83°C     26.80°C   26.88°C    66.80RH    67.53RH    66.79RH   68.10RH
2024-10-11   13:55:40   26.84°C     26.83°C     26.80°C   26.88°C    66.79RH    67.53RH    66.79RH   68.10RH
2024-10-11   13:55:45   26.84°C     26.83°C     26.80°C   26.88°C    66.78RH    67.52RH    66.78RH   68.10RH
2024-10-11   13:55:50   26.83°C     26.83°C     26.80°C   26.88°C    66.81RH    67.52RH    66.78RH   68.10RH
2024-10-11   13:55:55   26.84°C     26.83°C     26.80°C   26.88°C    66.76RH    67.51RH    66.76RH   68.10RH
2024-10-11   13:56:00   26.84°C     26.83°C     26.80°C   26.88°C    66.82RH    67.51RH    66.76RH   68.10RH
2024-10-11   13:56:05   26.84°C     26.83°C     26.80°C   26.88°C    66.80RH    67.51RH    66.76RH   68.10RH
2024-10-11   13:56:10   26.83°C     26.83°C     26.80°C   26.88°C    66.83RH    67.50RH    66.76RH   68.10RH
2024-10-11   13:56:15   26.84°C     26.83°C     26.80°C   26.88°C    66.84RH    67.50RH    66.76RH   68.10RH
2024-10-11   13:56:20   26.84°C     26.83°C     26.80°C   26.88°C    66.80RH    67.50RH    66.76RH   68.10RH
2024-10-11   13:56:25   26.83°C     26.83°C     26.80°C   26.88°C    66.78RH    67.49RH    66.76RH   68.10RH
2024-10-11   13:56:30   26.84°C     26.83°C     26.80°C   26.88°C    66.75RH    67.49RH    66.75RH   68.10RH
2024-10-11   13:56:35   26.83°C     26.83°C     26.80°C   26.88°C    66.81RH    67.49RH    66.75RH   68.10RH
2024-10-11   13:56:40   26.84°C     26.83°C     26.80°C   26.88°C    66.82RH    67.48RH    66.75RH   68.10RH
2024-10-11   13:56:45   26.84°C     26.83°C     26.80°C   26.88°C    66.81RH    67.48RH    66.75RH   68.10RH
2024-10-11   13:56:50   26.84°C     26.83°C     26.80°C   26.88°C    66.83RH    67.48RH    66.75RH   68.10RH
2024-10-11   13:56:55   26.84°C     26.83°C     26.80°C   26.88°C    66.86RH    67.47RH    66.75RH   68.10RH
2024-10-11   13:57:00   26.84°C     26.83°C     26.80°C   26.88°C    66.84RH    67.47RH    66.75RH   68.10RH
2024-10-11   13:57:05   26.85°C     26.83°C     26.80°C   26.88°C    66.80RH    67.47RH    66.75RH   68.10RH
2024-10-11   13:57:10   26.83°C     26.83°C     26.80°C   26.88°C    66.83RH    67.46RH    66.75RH   68.10RH
2024-10-11   13:57:15   26.85°C     26.83°C     26.80°C   26.88°C    66.81RH    67.46RH    66.75RH   68.10RH
2024-10-11   13:57:20   26.84°C     26.83°C     26.80°C   26.88°C    66.82RH    67.46RH    66.75RH   68.10RH
2024-10-11   13:57:26   26.84°C     26.83°C     26.80°C   26.88°C    66.88RH    67.45RH    66.75RH   68.10RH
2024-10-11   13:57:31   26.85°C     26.83°C     26.80°C   26.88°C    66.92RH    67.45RH    66.75RH   68.10RH
2024-10-11   13:57:36   26.87°C     26.83°C     26.80°C   26.88°C    66.92RH    67.45RH    66.75RH   68.10RH
2024-10-11   13:57:41   26.85°C     26.83°C     26.80°C   26.88°C    66.88RH    67.45RH    66.75RH   68.10RH
2024-10-11   13:57:46   26.87°C     26.83°C     26.80°C   26.88°C    66.87RH    67.44RH    66.75RH   68.10RH
2024-10-11   13:57:51   26.87°C     26.83°C     26.80°C   26.88°C    66.83RH    67.44RH    66.75RH   68.10RH
2024-10-11   13:57:56   26.87°C     26.83°C     26.80°C   26.88°C    66.83RH    67.44RH    66.75RH   68.10RH
2024-10-11   13:58:01   26.88°C     26.83°C     26.80°C   26.88°C    66.80RH    67.43RH    66.75RH   68.10RH
2024-10-11   13:58:06   26.85°C     26.83°C     26.80°C   26.88°C    66.82RH    67.43RH    66.75RH   68.10RH
2024-10-11   13:58:11   26.87°C     26.84°C     26.80°C   26.88°C    66.82RH    67.43RH    66.75RH   68.10RH
2024-10-11   13:58:16   26.87°C     26.84°C     26.80°C   26.88°C    66.83RH    67.43RH    66.75RH   68.10RH
2024-10-11   13:58:21   26.88°C     26.84°C     26.80°C   26.88°C    66.78RH    67.42RH    66.75RH   68.10RH
2024-10-11   13:58:26   26.88°C     26.84°C     26.80°C   26.88°C    66.79RH    67.42RH    66.75RH   68.10RH
2024-10-11   13:58:31   26.87°C     26.84°C     26.80°C   26.88°C    66.80RH    67.42RH    66.75RH   68.10RH
2024-10-11   13:58:36   26.87°C     26.84°C     26.80°C   26.88°C    66.81RH    67.41RH    66.75RH   68.10RH
2024-10-11   13:58:41   26.87°C     26.84°C     26.80°C   26.88°C    66.81RH    67.41RH    66.75RH   68.10RH
